snapshot_id,anchor_id,label,n,p50,p90,p95,p99,p95_ci_lo,p95_ci_hi,cond_p95,reach_pct,accept_pct,reps
"20260727_042523_Headless_Run_Auto_ge","n00000006","Chemistry",934,0.043495,0.048359,0.066269,0.070562,0.063186,0.068164,0.066269,100.0,100.0,300
"20260727_042523_Headless_Run_Auto_ge","n00000012","Physics",873,0.033153,0.035227,0.035550,0.036267,0.035393,0.036041,0.035550,100.0,100.0,300
"20260727_042523_Headless_Run_Auto_ge","n00000011","Math",870,0.036586,0.038715,0.039426,0.040602,0.038978,0.040018,0.039426,100.0,100.0,300
"20260727_042523_Headless_Run_Auto_ge","n00000003","Law",738,0.050732,0.073189,0.075305,0.078162,0.073927,0.077505,0.075305,100.0,100.0,300
"20260727_042523_Headless_Run_Auto_ge","n00000004","Psychology",624,0.026127,0.028018,0.028986,0.029704,0.028354,0.029311,0.028986,100.0,81.7,300
"20260727_042523_Headless_Run_Auto_ge","n00000002","Business",606,0.034855,0.037600,0.038557,0.041674,0.037945,0.039879,0.038557,100.0,100.0,300
"20260727_042523_Headless_Run_Auto_ge","n00000015","Engineering",604,0.064070,0.068317,0.069885,0.072718,0.069023,0.071875,0.069885,100.0,100.0,300
"20260727_042523_Headless_Run_Auto_ge","n00000005","Biology",571,0.032516,0.035235,0.035778,0.037020,0.035559,0.036479,0.035778,100.0,100.0,300
"20260727_042523_Headless_Run_Auto_ge","n00000010","Economics",568,0.034925,0.037489,0.038439,0.041186,0.037965,0.039753,0.038439,100.0,100.0,300
"20260727_042523_Headless_Run_Auto_ge","n00000013","Computer science",549,0.032152,0.035044,0.035646,0.036801,0.035364,0.036273,0.035646,100.0,99.7,300
"20260727_042523_Headless_Run_Auto_ge","n00000009","Health",525,0.030146,0.032914,0.033653,0.034663,0.033306,0.034189,0.033653,100.0,99.7,300
"20260727_042523_Headless_Run_Auto_ge","n00000008","Other",511,0.030064,0.032282,0.033473,0.034683,0.032581,0.033878,0.033473,100.0,99.7,300
"20260727_042523_Headless_Run_Auto_ge","n00000014","Philosophy",402,0.040275,0.044666,0.049540,0.063472,0.045390,0.061632,0.049540,100.0,100.0,300
"20260727_042523_Headless_Run_Auto_ge","n00000007","History",320,0.051403,0.069837,0.073441,0.076570,0.071281,0.074948,0.073441,100.0,100.0,300
