snapshot_id,node_id,label,depth,n,k,observed_sep,site_null_p50,site_null_p95,q_site,site_reach_pct,site_accept_pct,defl_dims,defl_null_p50,defl_null_p95,q_deflated,defl_reach_pct,defl_accept_pct,cert_site_p95,cert_deflated_p95,trunk_member,feasibility,reps
"20260908_112304_Headless_Run_Auto_ge","n00000006","Chemistry",1,940,3,0.045738,0.023833,0.025575,0.0000,100.0,15.0,2,0.019789,0.021476,0.0000,100.0,0.0,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000011","Math",1,872,4,0.056762,0.019721,0.021184,0.0000,100.0,0.0,3,0.017207,0.018478,0.0000,100.0,0.0,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000012","Physics",1,829,3,0.063285,0.025878,0.027801,0.0000,100.0,79.3,2,0.020995,0.022893,0.0000,100.0,0.0,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000003","Law",1,734,3,0.050102,0.027456,0.029815,0.0000,100.0,96.7,2,0.021198,0.022939,0.0000,100.0,0.0,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000015","Engineering",1,616,2,0.039273,0.024231,0.026469,0.0000,100.0,27.7,1,0.022761,0.024938,0.0000,100.0,5.0,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000004","Psychology",1,613,4,0.044844,0.020134,0.022098,0.0000,100.0,0.0,3,0.018850,0.021026,0.0000,100.0,0.0,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000013","Computer science",1,561,3,0.038881,0.021403,0.024040,0.0000,100.0,0.0,2,0.018746,0.020133,0.0000,100.0,0.0,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000008","Other",1,529,4,0.041852,0.020042,0.022160,0.0000,100.0,0.0,3,0.016887,0.018441,0.0000,100.0,0.0,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000009","Health",1,528,4,0.044104,0.020548,0.022452,0.0000,100.0,0.0,3,0.018610,0.020153,0.0000,100.0,0.0,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000014","Philosophy",1,416,2,0.029171,0.021886,0.025689,0.0100,100.0,8.7,1,0.021253,0.024203,0.0000,100.0,3.7,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000007","History",1,319,4,0.053207,0.024692,0.027619,0.0000,100.0,41.7,3,0.021119,0.023731,0.0000,100.0,0.7,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000026","Emergent Concept #11",2,483,5,0.028032,0.023581,0.026398,0.0100,100.0,19.3,4,0.020169,0.022040,0.0000,100.0,0.0,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000125","Emergent Concept #110",2,300,2,0.026764,0.026465,0.046134,0.4333,100.0,80.3,1,0.025460,0.043507,0.2567,100.0,59.3,false,false,false,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000022","Emergent Concept #7",2,291,3,0.053533,0.029377,0.050621,0.0000,100.0,99.7,2,0.027209,0.032282,0.0000,100.0,85.3,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000138","Emergent Concept #123",2,277,3,0.036733,0.024717,0.028407,0.0133,100.0,44.3,2,0.022299,0.024489,0.0033,100.0,2.7,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000048","Emergent Concept #33",2,272,3,0.053171,0.031829,0.051844,0.0267,100.0,100.0,2,0.025413,0.029239,0.0000,100.0,59.7,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000137","Emergent Concept #122",2,260,2,0.053510,0.028446,0.049603,0.0267,100.0,80.7,1,0.027315,0.047491,0.0000,100.0,92.7,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000020","Emergent Concept #5",2,200,2,0.025530,0.030526,0.050967,0.9833,100.0,98.7,1,0.027826,0.046916,0.8633,100.0,91.0,false,false,false,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000059","Emergent Concept #44",2,198,3,0.038338,0.026396,0.031361,0.0167,100.0,74.7,2,0.023186,0.026328,0.0000,100.0,14.7,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000057","Emergent Concept #42",2,195,3,0.047225,0.028330,0.035167,0.0033,100.0,83.7,2,0.024573,0.027515,0.0000,100.0,41.7,true,true,true,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000044","Emergent Concept #29",2,191,2,0.027682,0.025127,0.028928,0.1267,100.0,53.3,1,0.023119,0.026396,0.0267,100.0,17.0,false,true,false,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000047","Emergent Concept #32",2,154,2,0.025317,0.027348,0.031193,0.8400,100.0,88.0,1,0.026221,0.029829,0.6667,100.0,71.7,false,false,false,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000045","Emergent Concept #30",2,153,2,0.032235,0.029740,0.035172,0.2133,100.0,93.3,1,0.026524,0.030720,0.0133,100.0,77.7,false,true,false,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000080","Emergent Concept #65",3,120,2,0.025907,0.027241,0.036047,0.5133,51.3,51.3,1,0.027842,0.035240,0.5600,57.0,56.7,false,false,false,OK,300
"20260908_112304_Headless_Run_Auto_ge","n00000081","Emergent Concept #66",3,79,2,0.034174,,,,0.0,0.0,0,,,,0.0,0.0,false,false,false,NULL-INFEASIBLE,300
