snapshot_id,node_id,label,depth,n,k,observed_sep,site_null_p50,site_null_p95,q_site,site_reach_pct,site_accept_pct,defl_dims,defl_null_p50,defl_null_p95,q_deflated,defl_reach_pct,defl_accept_pct,cert_site_p95,cert_deflated_p95,trunk_member,feasibility,reps
"20260908_104511_Headless_Run_Auto_ge","n00000006","Chemistry",1,921,2,0.044386,0.042903,0.046557,0.2467,100.0,100.0,1,0.029145,0.031414,0.0000,100.0,100.0,false,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000011","Math",1,905,2,0.039343,0.034780,0.037254,0.0000,100.0,100.0,1,0.024048,0.025982,0.0000,100.0,21.7,true,true,true,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000012","Physics",1,869,2,0.034390,0.033091,0.035956,0.1967,100.0,100.0,1,0.029202,0.031709,0.0000,100.0,100.0,false,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000003","Law",1,716,2,0.054347,0.045744,0.050302,0.0233,100.0,100.0,1,0.031304,0.034061,0.0067,100.0,100.0,true,true,true,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000004","Psychology",1,622,5,0.025628,0.024719,0.027248,0.2967,100.0,44.3,4,0.019239,0.020840,0.0000,100.0,0.0,false,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000008","Other",1,575,2,0.028314,0.025373,0.028058,0.0400,100.0,57.7,1,0.022631,0.025209,0.0000,100.0,6.0,true,true,true,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000005","Biology",1,566,3,0.049886,0.030807,0.034194,0.0000,100.0,100.0,2,0.017774,0.019264,0.0000,100.0,0.0,true,true,true,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000002","Business",1,561,2,0.039379,0.034851,0.039088,0.0467,100.0,100.0,1,0.030213,0.034005,0.0000,100.0,97.0,true,true,true,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000013","Computer science",1,543,2,0.025574,0.030091,0.033141,0.9967,100.0,99.7,1,0.029975,0.032899,0.9967,100.0,99.7,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000010","Economics",1,534,2,0.036531,0.036599,0.040085,0.5100,100.0,100.0,1,0.028135,0.030958,0.0000,100.0,95.7,false,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000015","Engineering",1,525,2,0.072689,0.056992,0.063191,0.0033,100.0,100.0,1,0.028589,0.031619,0.0000,100.0,98.7,true,true,true,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000009","Health",1,518,2,0.032057,0.030644,0.033844,0.2600,100.0,100.0,1,0.020793,0.022655,0.0000,100.0,0.0,false,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000014","Philosophy",1,402,2,0.030618,0.036468,0.041101,0.9967,100.0,100.0,1,0.023079,0.026279,0.0000,100.0,16.0,false,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000007","History",1,309,2,0.052592,0.045875,0.059143,0.0800,100.0,100.0,1,0.026380,0.029709,0.0000,100.0,80.7,false,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000020","Emergent Concept #5",2,502,2,0.028491,0.038554,0.042296,1.0000,100.0,100.0,1,0.028176,0.030995,0.4133,100.0,96.3,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000018","Emergent Concept #3",2,486,2,0.029791,0.050044,0.057090,0.9933,100.0,100.0,1,0.028005,0.031182,0.1733,100.0,98.7,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000029","Emergent Concept #14",2,462,2,0.033537,0.059751,0.066893,1.0000,100.0,100.0,1,0.030735,0.049894,0.1900,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000019","Emergent Concept #4",2,436,2,0.038327,0.030327,0.048593,0.0933,100.0,99.3,1,0.026287,0.029624,0.0333,100.0,81.7,false,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000021","Emergent Concept #6",2,374,2,0.029660,0.069470,0.079423,1.0000,100.0,100.0,1,0.033646,0.053607,0.9267,100.0,99.7,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000050","Emergent Concept #35",2,364,2,0.045728,0.068770,0.074692,0.9933,100.0,100.0,1,0.039630,0.059973,0.3033,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000051","Emergent Concept #36",2,357,2,0.065344,0.081933,0.089123,0.9867,100.0,100.0,1,0.051097,0.065877,0.0533,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000048","Emergent Concept #33",2,335,2,0.042024,0.059412,0.068736,0.8700,100.0,100.0,1,0.049135,0.056666,0.5667,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000024","Emergent Concept #9",2,330,2,0.030746,0.032300,0.036830,0.7100,100.0,100.0,1,0.024319,0.027140,0.0000,100.0,33.3,false,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000026","Emergent Concept #11",2,330,3,0.040608,0.024903,0.028348,0.0033,100.0,46.0,2,0.022011,0.025010,0.0000,100.0,5.3,true,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000052","Emergent Concept #37",2,310,3,0.036690,0.026275,0.030733,0.0200,100.0,73.7,2,0.021005,0.024110,0.0000,100.0,2.0,true,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000022","Emergent Concept #7",2,302,2,0.033237,0.037709,0.058351,0.9067,100.0,100.0,1,0.030407,0.052239,0.2033,100.0,99.7,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000133","Emergent Concept #118",2,293,3,0.069342,0.072117,0.081026,0.6867,100.0,100.0,2,0.057515,0.064141,0.0000,100.0,100.0,false,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000132","Emergent Concept #117",2,273,3,0.056709,0.041040,0.062674,0.2900,100.0,100.0,2,0.028734,0.045807,0.0000,100.0,97.0,false,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000035","Emergent Concept #20",2,271,3,0.077340,0.071591,0.079175,0.1067,100.0,100.0,2,0.038689,0.060322,0.0000,100.0,100.0,false,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000034","Emergent Concept #19",2,258,2,0.054290,0.070409,0.078063,0.8933,100.0,100.0,1,0.043086,0.066705,0.2967,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000025","Emergent Concept #10",2,256,2,0.027957,0.033869,0.039509,0.9933,100.0,100.0,1,0.024366,0.028836,0.0833,100.0,40.3,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000023","Emergent Concept #8",2,239,2,0.039417,0.063213,0.069901,0.9333,100.0,100.0,1,0.041846,0.063061,0.5967,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000037","Emergent Concept #22",2,228,3,0.036811,0.027343,0.031470,0.0200,100.0,86.3,2,0.024406,0.027506,0.0000,100.0,38.0,true,true,true,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000049","Emergent Concept #34",2,220,2,0.032437,0.035750,0.058207,0.7933,100.0,100.0,1,0.030050,0.046450,0.2200,100.0,98.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000027","Emergent Concept #12",2,198,2,0.028603,0.033201,0.055983,0.9600,100.0,100.0,1,0.032353,0.054380,0.9433,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000099","Emergent Concept #84",2,190,2,0.033778,0.036618,0.061237,0.8067,100.0,100.0,1,0.035341,0.040521,0.6767,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000031","Emergent Concept #16",2,188,2,0.038074,0.039053,0.061415,0.6267,100.0,100.0,1,0.033967,0.056602,0.1267,100.0,99.7,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000061","Emergent Concept #46",3,351,2,0.039539,0.054528,0.060706,0.7000,100.0,100.0,1,0.034407,0.055208,0.4500,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000059","Emergent Concept #44",3,341,4,0.068239,0.031226,0.034910,0.0000,100.0,99.0,3,0.022357,0.024942,0.0000,100.0,5.0,true,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000062","Emergent Concept #47",3,297,2,0.041457,0.044496,0.065145,0.6567,100.0,100.0,1,0.032464,0.054603,0.3533,100.0,99.7,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000093","Emergent Concept #78",3,290,2,0.037046,0.057822,0.064227,0.8967,100.0,100.0,1,0.034584,0.057226,0.3733,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000056","Emergent Concept #41",3,271,3,0.049699,0.057146,0.062529,0.7333,100.0,100.0,2,0.033528,0.054853,0.1367,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000213","Emergent Concept #198",3,230,2,0.046675,0.062811,0.078808,0.8467,100.0,100.0,1,0.042952,0.064269,0.4433,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000119","Emergent Concept #104",3,228,2,0.093940,0.073091,0.085351,0.0100,100.0,100.0,1,0.036190,0.060044,0.0000,100.0,100.0,true,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000115","Emergent Concept #100",3,210,2,0.036858,0.047400,0.070472,0.9900,100.0,100.0,1,0.037660,0.059905,0.5867,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000057","Emergent Concept #42",3,175,2,0.025688,0.042216,0.049131,1.0000,100.0,100.0,1,0.037347,0.042914,1.0000,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000074","Emergent Concept #59",3,167,2,0.033842,0.039063,0.045530,0.9133,100.0,100.0,1,0.032731,0.038380,0.3900,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000076","Emergent Concept #61",3,164,2,0.037526,0.032268,0.038445,0.1033,100.0,99.0,1,0.026565,0.030848,0.0000,100.0,78.0,false,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000060","Emergent Concept #45",3,152,2,0.067986,0.050599,0.059534,0.0033,100.0,100.0,1,0.044636,0.053136,0.0000,100.0,100.0,true,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000058","Emergent Concept #43",3,148,2,0.077559,0.062733,0.075038,0.0167,100.0,100.0,1,0.039447,0.046673,0.0000,100.0,99.7,true,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000064","Emergent Concept #49",3,147,2,0.046942,0.045726,0.054478,0.4133,100.0,100.0,1,0.037029,0.042784,0.0067,99.7,99.7,false,true,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000078","Emergent Concept #63",3,130,2,0.025557,0.033427,0.039453,0.9667,96.7,96.7,1,0.032799,0.037104,0.9733,98.0,97.7,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000150","Emergent Concept #135",4,261,2,0.032683,0.058328,0.064668,0.9933,100.0,100.0,1,0.057113,0.063713,0.9900,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000153","Emergent Concept #138",4,185,2,0.038797,0.042719,0.066898,0.8267,100.0,100.0,1,0.039316,0.060004,0.5667,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000166","Emergent Concept #151",4,171,2,0.026815,0.043834,0.050588,1.0000,100.0,100.0,1,0.037501,0.042844,1.0000,100.0,100.0,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000216","Emergent Concept #201",5,136,2,0.052499,0.053964,0.065091,0.6100,100.0,100.0,1,0.046471,0.055799,0.1333,98.7,98.7,false,false,false,OK,300
"20260908_104511_Headless_Run_Auto_ge","n00000217","Emergent Concept #202",5,130,2,0.046712,0.048811,0.056926,0.6633,96.7,96.7,1,0.044538,0.052063,0.3133,97.3,97.3,false,false,false,OK,300
