snapshot_id,node_id,label,depth,n,k,observed_sep,site_null_p50,site_null_p95,q_site,site_reach_pct,site_accept_pct,defl_dims,defl_null_p50,defl_null_p95,q_deflated,defl_reach_pct,defl_accept_pct,cert_site_p95,cert_deflated_p95,trunk_member,feasibility,reps
"20260909_171428_Headless_Run_Auto_ge","n00000006","Chemistry",1,928,2,0.031790,0.030686,0.033276,0.2233,100.0,100.0,1,0.025829,0.028238,0.0000,100.0,75.3,false,true,false,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000011","Math",1,883,3,0.050031,0.026119,0.028033,0.0000,100.0,79.7,2,0.018692,0.019857,0.0000,100.0,0.0,true,true,true,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000012","Physics",1,835,2,0.027720,0.028612,0.031706,0.7767,100.0,99.7,1,0.027998,0.030217,0.5700,100.0,97.7,false,false,false,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000003","Law",1,717,2,0.040439,0.032263,0.036151,0.0300,100.0,100.0,1,0.029187,0.032124,0.0000,100.0,99.7,true,true,true,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000002","Business",1,620,3,0.045398,0.026239,0.029558,0.0000,100.0,77.0,2,0.023223,0.025298,0.0000,100.0,9.0,true,true,true,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000004","Psychology",1,617,3,0.036850,0.022717,0.024508,0.0000,100.0,2.7,2,0.020593,0.022277,0.0000,100.0,0.0,true,true,true,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000015","Engineering",1,615,2,0.025147,0.026699,0.028980,0.8867,100.0,90.3,1,0.026966,0.029649,0.9200,100.0,93.3,false,false,false,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000005","Biology",1,565,4,0.048538,0.023779,0.026269,0.0000,100.0,25.0,3,0.018276,0.019826,0.0000,100.0,0.0,true,true,true,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000010","Economics",1,549,2,0.038657,0.029062,0.032059,0.0000,100.0,99.3,1,0.022850,0.024777,0.0000,100.0,3.0,true,true,true,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000013","Computer science",1,542,3,0.043094,0.027573,0.030597,0.0000,100.0,95.7,2,0.024477,0.027141,0.0000,100.0,37.3,true,true,true,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000009","Health",1,513,3,0.040487,0.024421,0.026454,0.0000,100.0,34.0,2,0.020481,0.022407,0.0000,100.0,0.0,true,true,true,OK,300
"20260909_171428_Headless_Run_Auto_ge","n00000008","Other",1,497,4,0.051374,0.022751,0.025951,0.0000,100.0,11.3,3,0.018582,0.020476,0.0000,100.0,0.0,true,true,true,OK,300
