snapshot_id,node_id,label,depth,n,k,observed_sep,site_null_p50,site_null_p95,q_site,site_reach_pct,site_accept_pct,defl_dims,defl_null_p50,defl_null_p95,q_deflated,defl_reach_pct,defl_accept_pct,cert_site_p95,cert_deflated_p95,trunk_member,feasibility,reps
"20260909_170243_Headless_Run_Auto_ge","n00000012","Physics",1,866,3,0.042055,0.023205,0.025088,0.0000,100.0,5.7,2,0.017687,0.018895,0.0000,100.0,0.0,true,true,true,OK,300
"20260909_170243_Headless_Run_Auto_ge","n00000004","Psychology",1,624,4,0.043131,0.018020,0.019493,0.0000,100.0,0.0,3,0.015530,0.017223,0.0000,100.0,0.0,true,true,true,OK,300
"20260909_170243_Headless_Run_Auto_ge","n00000008","Other",1,573,3,0.039592,0.016691,0.018256,0.0000,100.0,0.0,2,0.015204,0.016609,0.0000,100.0,0.0,true,true,true,OK,300
"20260909_170243_Headless_Run_Auto_ge","n00000013","Computer science",1,543,3,0.034775,0.019298,0.021139,0.0000,100.0,0.0,2,0.017785,0.019790,0.0000,100.0,0.0,true,true,true,OK,300
"20260909_170243_Headless_Run_Auto_ge","n00000015","Engineering",1,526,2,0.025022,0.023154,0.025860,0.1300,100.0,13.7,1,0.021443,0.023887,0.0133,100.0,1.3,false,true,false,OK,300
"20260909_170243_Headless_Run_Auto_ge","n00000014","Philosophy",1,402,2,0.027096,0.019251,0.022667,0.0000,100.0,1.3,1,0.018522,0.022018,0.0000,100.0,0.0,true,true,true,OK,300
"20260909_170243_Headless_Run_Auto_ge","n00000007","History",1,311,3,0.036586,0.021528,0.024046,0.0000,100.0,1.3,2,0.019822,0.022638,0.0000,100.0,0.0,true,true,true,OK,300
"20260909_170243_Headless_Run_Auto_ge","n00000021","Emergent Concept #6",2,420,4,0.054614,0.023044,0.026289,0.0000,100.0,11.3,3,0.020478,0.022676,0.0000,100.0,0.0,true,true,true,OK,300
"20260909_170243_Headless_Run_Auto_ge","n00000020","Emergent Concept #5",2,261,2,0.025653,0.024034,0.027553,0.1733,100.0,29.3,1,0.021919,0.024853,0.0200,100.0,4.0,false,true,false,OK,300
"20260909_170243_Headless_Run_Auto_ge","n00000044","Emergent Concept #29",2,192,2,0.025042,0.024672,0.027787,0.4333,100.0,43.3,1,0.023366,0.026056,0.1633,100.0,16.3,false,false,false,OK,300
"20260909_170243_Headless_Run_Auto_ge","n00000080","Emergent Concept #65",2,141,2,0.026402,0.027474,0.032143,0.6600,99.7,84.0,1,0.024675,0.028269,0.2100,100.0,44.0,false,false,false,OK,300
"20260909_170243_Headless_Run_Auto_ge","n00000107","Emergent Concept #92",3,144,2,0.026386,0.028206,0.033869,0.7800,100.0,91.0,1,0.024042,0.028294,0.1800,100.0,33.3,false,false,false,OK,300
