snapshot_id,node_id,label,depth,n,k,observed_sep,site_null_p50,site_null_p95,q_site,site_reach_pct,site_accept_pct,defl_dims,defl_null_p50,defl_null_p95,q_deflated,defl_reach_pct,defl_accept_pct,cert_site_p95,cert_deflated_p95,trunk_member,feasibility,reps
"20260909_224527_Headless_Run_Auto_ge","n00000005","Chemistry",1,918,2,0.049564,0.041255,0.044915,0.0000,100.0,100.0,1,0.027970,0.030615,0.0000,100.0,98.7,true,true,true,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000010","Math",1,903,2,0.038699,0.035859,0.038492,0.0400,100.0,100.0,1,0.023209,0.025077,0.0000,100.0,6.0,true,true,true,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000003","Psychology",1,896,2,0.032440,0.023791,0.025893,0.0000,100.0,18.7,1,0.023365,0.025327,0.0000,100.0,10.7,true,true,true,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000011","Physics",1,881,2,0.036802,0.032979,0.035889,0.0167,100.0,100.0,1,0.028428,0.030656,0.0000,100.0,99.7,true,true,true,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000012","Computer science",1,666,2,0.020027,0.027829,0.029939,1.0000,100.0,96.0,1,0.027825,0.030348,1.0000,100.0,98.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000006","History",1,620,2,0.053478,0.028663,0.031502,0.0000,100.0,98.7,1,0.023501,0.025843,0.0000,100.0,13.7,true,true,true,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000004","Biology",1,590,2,0.018521,0.028757,0.031442,1.0000,100.0,99.7,1,0.019910,0.021763,0.9167,100.0,0.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000002","Business",1,574,2,0.044623,0.034858,0.038165,0.0100,100.0,100.0,1,0.028876,0.032838,0.0000,100.0,93.7,true,true,true,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000009","Economics",1,569,2,0.039182,0.037044,0.040921,0.1700,100.0,100.0,1,0.029344,0.032393,0.0000,100.0,98.7,false,true,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000014","Engineering",1,520,2,0.074427,0.057178,0.063829,0.0033,100.0,100.0,1,0.027574,0.030666,0.0000,100.0,97.3,true,true,true,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000008","Health",1,514,2,0.031704,0.029924,0.033204,0.1800,100.0,100.0,1,0.021613,0.024165,0.0000,100.0,0.3,false,true,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000007","Other",1,476,2,0.026526,0.066798,0.073073,1.0000,100.0,100.0,1,0.060182,0.065585,1.0000,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000013","Philosophy",1,380,2,0.051946,0.065969,0.071708,0.9700,100.0,100.0,1,0.066820,0.072875,0.9800,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000046","Emergent Concept #32",2,734,2,0.022289,0.026254,0.028372,1.0000,100.0,85.0,1,0.023046,0.024855,0.7167,100.0,4.3,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000021","Emergent Concept #7",2,510,2,0.023937,0.031654,0.034535,1.0000,100.0,100.0,1,0.027138,0.030000,0.9833,100.0,91.3,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000017","Emergent Concept #3",2,490,2,0.030640,0.060798,0.066945,1.0000,100.0,100.0,1,0.032798,0.051746,0.7967,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000131","Emergent Concept #117",2,459,2,0.029209,0.055925,0.063375,1.0000,100.0,100.0,1,0.029929,0.048441,0.6133,100.0,99.3,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000022","Emergent Concept #8",2,407,2,0.028198,0.029564,0.049985,0.7633,100.0,99.0,1,0.027509,0.047072,0.3433,100.0,96.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000018","Emergent Concept #4",2,398,2,0.045637,0.055520,0.073466,0.9667,100.0,100.0,1,0.030873,0.050795,0.1267,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000032","Emergent Concept #18",2,395,2,0.024210,0.022839,0.025562,0.2167,100.0,9.7,1,0.018825,0.020761,0.0000,100.0,0.0,false,true,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000019","Emergent Concept #5",2,389,2,0.046359,0.059908,0.065930,0.7167,100.0,100.0,1,0.033458,0.053352,0.3600,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000044","Emergent Concept #30",2,364,2,0.034556,0.068863,0.075253,1.0000,100.0,100.0,1,0.044454,0.062653,0.9967,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000028","Emergent Concept #14",2,338,2,0.034185,0.039554,0.058369,0.7833,100.0,100.0,1,0.030704,0.034787,0.0667,100.0,99.3,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000029","Emergent Concept #15",2,316,2,0.034448,0.087765,0.096604,1.0000,100.0,100.0,1,0.051399,0.067672,1.0000,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000023","Emergent Concept #9",2,315,2,0.022716,0.026287,0.029827,0.9833,100.0,78.3,1,0.024869,0.027525,0.8900,100.0,47.3,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000026","Emergent Concept #12",2,309,2,0.034375,0.037858,0.060247,0.8300,100.0,100.0,1,0.030594,0.048455,0.1067,100.0,99.3,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000027","Emergent Concept #13",2,301,2,0.021746,0.028762,0.049621,1.0000,100.0,93.7,1,0.027425,0.031779,0.9967,100.0,84.7,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000217","Emergent Concept #203",2,299,2,0.015045,0.055850,0.062306,1.0000,100.0,100.0,1,0.036797,0.058632,1.0000,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000020","Emergent Concept #6",2,294,2,0.029825,0.029258,0.049993,0.4167,100.0,98.7,1,0.026370,0.029530,0.0500,100.0,75.3,false,true,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000218","Emergent Concept #204",2,280,2,0.021830,0.072244,0.080917,1.0000,100.0,100.0,1,0.064801,0.070326,1.0000,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000025","Emergent Concept #11",2,270,2,0.035537,0.060142,0.066885,0.9767,100.0,100.0,1,0.054185,0.062431,0.7800,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000048","Emergent Concept #34",2,266,2,0.047927,0.070068,0.077782,0.9367,100.0,100.0,1,0.044271,0.067092,0.3200,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000049","Emergent Concept #35",2,257,2,0.054492,0.072844,0.080591,0.8667,100.0,100.0,1,0.048827,0.070685,0.3933,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000024","Emergent Concept #10",2,210,2,0.027944,0.033003,0.055108,0.9800,100.0,100.0,1,0.031022,0.052952,0.9300,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000031","Emergent Concept #17",2,203,2,0.020024,0.036549,0.061386,1.0000,100.0,100.0,1,0.034619,0.056873,1.0000,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000047","Emergent Concept #33",2,179,2,0.057484,0.039863,0.047036,0.0000,100.0,100.0,1,0.033978,0.038602,0.0000,100.0,99.7,true,true,true,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000030","Emergent Concept #16",2,171,2,0.035251,0.042974,0.051374,0.9633,100.0,100.0,1,0.028396,0.033089,0.0067,100.0,91.7,false,true,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000118","Emergent Concept #104",3,405,2,0.023053,0.027362,0.031059,0.9867,100.0,92.0,1,0.020939,0.022953,0.0367,100.0,0.0,false,true,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000069","Emergent Concept #55",3,383,2,0.027159,0.030243,0.033911,0.9467,100.0,99.3,1,0.024249,0.027742,0.0733,100.0,31.3,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000119","Emergent Concept #105",3,363,2,0.029797,0.033855,0.038091,0.9333,100.0,100.0,1,0.022028,0.024172,0.0000,100.0,0.7,false,true,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000052","Emergent Concept #38",3,347,2,0.050098,0.053571,0.063693,0.5167,100.0,100.0,1,0.031831,0.053472,0.1867,100.0,98.7,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000216","Emergent Concept #202",3,288,2,0.037931,0.053687,0.061297,0.6867,100.0,100.0,1,0.032798,0.054428,0.2800,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000054","Emergent Concept #40",3,255,2,0.049895,0.060922,0.070705,0.5867,100.0,100.0,1,0.036663,0.059499,0.3233,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000271","Emergent Concept #257",3,248,3,0.056235,0.054758,0.066524,0.4800,100.0,100.0,2,0.035530,0.058236,0.1300,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000198","Emergent Concept #184",3,225,2,0.047315,0.059415,0.071378,0.6133,100.0,100.0,1,0.037128,0.055686,0.1067,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000084","Emergent Concept #70",3,215,2,0.042519,0.037165,0.058735,0.1667,100.0,100.0,1,0.031355,0.052831,0.0967,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000089","Emergent Concept #75",3,215,2,0.049894,0.066800,0.076601,0.9967,100.0,100.0,1,0.028924,0.033407,0.0133,100.0,98.0,false,true,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000098","Emergent Concept #84",3,215,2,0.022881,0.025902,0.029828,0.9633,100.0,70.7,1,0.024843,0.028138,0.8667,100.0,46.7,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000056","Emergent Concept #42",3,211,2,0.023349,0.031996,0.037004,1.0000,100.0,99.7,1,0.026197,0.029646,0.9267,100.0,72.3,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000067","Emergent Concept #53",3,211,2,0.030011,0.037507,0.061510,0.9900,100.0,100.0,1,0.035568,0.059960,0.9733,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000066","Emergent Concept #52",3,203,2,0.038940,0.050957,0.078229,0.9867,100.0,100.0,1,0.046949,0.070601,0.9633,100.0,100.0,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000220","Emergent Concept #206",3,203,2,0.039801,0.042886,0.066340,0.7300,100.0,100.0,1,0.035488,0.055122,0.1767,100.0,99.7,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000203","Emergent Concept #189",3,197,2,0.030857,0.036946,0.042673,0.9467,100.0,99.7,1,0.026504,0.031315,0.0700,100.0,77.3,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000099","Emergent Concept #85",3,188,2,0.024150,0.027485,0.031698,0.9300,100.0,86.3,1,0.025382,0.028535,0.7800,100.0,58.7,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000071","Emergent Concept #57",3,182,2,0.029231,0.034526,0.041263,0.9567,100.0,100.0,1,0.030569,0.034966,0.7033,100.0,98.7,false,false,false,OK,300
"20260909_224527_Headless_Run_Auto_ge","n00000215","Emergent Concept #201",3,180,2,0.055363,0.052982,0.061891,0.3433,100.0,100.0,1,0.035206,0.041471,0.0000,100.0,99.7,false,true,false,OK,300
