Condition,MetricName,Value
MAIN,totalQueries,3300
MAIN,totalModelPairs,66
MAIN,coverageRate,1.0
MAIN,overallJudgeAccuracyAgreement,0.40515151515151515
MAIN,totalNodes,154
MAIN,leafNodes,87
MAIN,maxDepth,6
MAIN,avgLeafDepth,3.6206896551724137
MAIN,nmi,0.03602645434236266
MAIN,ari,0.0018477641343906499
MAIN,dendrogramPurity,0.6969417733404705
MAIN,weightedLeafPurity,0.978448747401816
MAIN,sphericalSilhouette,0.12406569017271636
MAIN,totalDasguptaCost,6.424349668319834E10
MAIN,routingECE,0.30815540967716787
MAIN,normalisedSackin,3.6206896551724137
MAIN,overallSpearmanRho,0.8531468531468531
MAIN,overallSpearmanCiLow,0.8181818181818182
MAIN,overallSpearmanCiHigh,0.8811188811188811
MAIN,overallKendallTau,0.7272727272727273
MAIN,overallKendallCiLow,0.6666666666666666
MAIN,overallKendallCiHigh,0.7878787878787878
MAIN,overallPairwiseWinnerAccuracy,0.8636363636363636
MAIN,overallTopKJaccard,0.2
MAIN,adaptedSpearmanRho,0.8441343943477072
MAIN,adaptedSpearmanCiLow,0.0
MAIN,adaptedSpearmanCiHigh,0.8881118881118881
MAIN,canonicalSpearmanRho,0.8811188811188811
MAIN,canonicalSpearmanCiLow,0.6783216783216783
MAIN,canonicalSpearmanCiHigh,0.9230769230769231
MAIN,deltaSpearmanRho,-0.03698448677117394
MAIN,deltaSpearmanCiLow,-0.916083916083916
MAIN,deltaSpearmanCiHigh,0.09790209790209792
MAIN,deltaSpearmanPermutationPValue,0.6145
MAIN,adaptedKendallTau,0.7175781594491396
MAIN,adaptedKendallCiLow,0.0
MAIN,adaptedKendallCiHigh,0.7575757575757576
MAIN,canonicalKendallTau,0.7272727272727273
MAIN,canonicalKendallCiLow,0.4732962328281559
MAIN,canonicalKendallCiHigh,0.8181818181818182
MAIN,deltaKendallTau,-0.009694567823587685
MAIN,deltaKendallCiLow,-0.7878787878787878
MAIN,deltaKendallCiHigh,0.1515151515151515
MAIN,deltaKendallPermutationPValue,0.8859
MAIN,domainWilcoxonPValue,0.011718723035461398
